comparison	n_shared_molecules	pearson_delta	spearman_delta	mean_score_delta	mean_pAffinity_delta
L858R minus WT	357	-0.09943467856961559	-0.10233558208550025	0.0017420252478991568	0.5602301118892871
T790M minus WT	187	0.08222208369416763	0.1602751711608626	0.0003311720349197846	-0.021543036220671243
L858R_T790M minus L858R	456	-0.12381371912659042	-0.1199194279210455	0.0028415263831140323	-0.32260144511429745
L858R_T790M_C797S minus L858R_T790M	128	-0.1489089761607714	-0.18881714317327275	-0.00034207785482187473	-0.4148633814707089
T790M_C797S minus T790M	17	0.637801207157619	0.5942131032075438	-0.0006376558823529351	-1.1807105883087765
